Date/Time,Movement
19-11-2024 20:00,-13.1466666
19-11-2024 07:30,-13.4066666
18-11-2024 20:00,-13.0066666
18-11-2024 14:00,-12.3566666
18-11-2024 07:30,-12.5866666
17-11-2024 20:00,-12.2466666
17-11-2024 14:00,-12.1466666
17-11-2024 07:30,-12.2466666
16-11-2024 20:00,-12.1466666
16-11-2024 14:00,-13.1666666
16-11-2024 07:30,-11.7866666
15-11-2024 20:00,-11.8766666
15-11-2024 14:00,-12.0066666
15-11-2024 07:30,-11.7866666
14-11-2024 20:00,-12.4866666
14-11-2024 14:00,-11.8666666
14-11-2024 07:30,-12.2566666
13-11-2024 20:00,-12.2166666
13-11-2024 14:00,-11.7566666
13-11-2024 07:30,-11.4166666
12-11-2024 20:00,-11.8366666
12-11-2024 14:00,-11.8166666
12-11-2024 07:30,-11.5266666
11-11-2024 20:00,-11.0466666
11-11-2024 14:00,-10.7966666
11-11-2024 07:30,-11.4666666
10-11-2024 20:00,-11.5866666
10-11-2024 14:00,-11.5666666
10-11-2024 07:30,-11.2566666
09-11-2024 20:00,-11.6566666
09-11-2024 14:00,-11.5766666
09-11-2024 07:30,-11.5266666
08-11-2024 20:00,-11.5066666
08-11-2024 14:00,-11.6966666
08-11-2024 07:30,-11.1066666
07-11-2024 20:00,-11.1566666
07-11-2024 14:00,-11.0766666
07-11-2024 07:30,-11.0766666
06-11-2024 20:00,-9.6266666
06-11-2024 14:00,-9.9846666
06-11-2024 07:30,-11.0366666
05-11-2024 20:00,-10.4366666
05-11-2024 14:00,-9.8466666
05-11-2024 08:00,-9.8266666
04-11-2024 23:00,-9.9466666
04-11-2024 14:00,-9.8466666
04-11-2024 08:00,-9.8466666
03-11-2024 23:00,-9.94
03-11-2024 14:00,-9.75
03-11-2024 08:00,-10.23
02-11-2024 23:00,-9.75
02-11-2024 20:00,-8.95
02-11-2024 14:00,-9.51
02-11-2024 08:00,-9.17
02-11-2024 02:00,-8.94
01-11-2024 14:00,-8.47
01-11-2024 02:00,-9.01
31-10-2024 14:00,-8.37
31-10-2024 02:00,-8.53
30-10-2024 14:00,-8.67
30-10-2024 02:00,-8.18
29-10-2024 14:00,-8.88
29-10-2024 02:00,-8.65
28-10-2024 14:00,-8.25
28-10-2024 02:00,-8.47
27-10-2024 14:00,-7.71
27-10-2024 02:00,-7.73
26-10-2024 14:00,-8.36
26-10-2024 02:00,-7.64
25-10-2024 14:00,-7.93
25-10-2024 04:00,-7.0466666
25-10-2024 02:00,-7.05
24-10-2024 16:00,-6.86
24-10-2024 12:00,-5.93
24-10-2024 11:59,-5.9266666
24-10-2024 08:00,-5.69
24-10-2024 04:00,-5.25
24-10-2024 00:00,-4.82
23-10-2024 23:59,-4.8166666
23-10-2024 20:00,-4.05
23-10-2024 16:00,-3.55
23-10-2024 12:00,-2.31
23-10-2024 11:59,-2.3066666
23-10-2024 08:00,-1.59
23-10-2024 04:00,-0.39
23-10-2024 00:00,0.52
22-10-2024 23:59,0.5233333
22-10-2024 20:00,1.18
22-10-2024 16:00,1.72
22-10-2024 12:00,1.77
22-10-2024 11:59,1.7733333
22-10-2024 08:00,1.35
22-10-2024 05:00,2.14
22-10-2024 02:00,1.85
22-10-2024 00:00,1.7733333
21-10-2024 23:00,2.65
21-10-2024 20:00,2.4
21-10-2024 17:00,2.37
21-10-2024 14:00,2.35
21-10-2024 11:00,2.44
21-10-2024 08:00,1.7
21-10-2024 05:00,2.62
21-10-2024 02:00,2.37
20-10-2024 23:00,2.44
20-10-2024 20:00,2.32
20-10-2024 17:00,2.1
20-10-2024 14:00,1.88
20-10-2024 11:00,2.26
20-10-2024 08:00,2.69
20-10-2024 05:00,2.4633333
20-10-2024 02:00,2.5033333
19-10-2024 23:00,2.6733333
19-10-2024 20:00,2.5433333
19-10-2024 17:00,2.7233333
19-10-2024 14:00,2.7033333
19-10-2024 11:00,1.9233333
19-10-2024 08:00,2.2133333
19-10-2024 05:00,2.62
19-10-2024 02:00,2.38
18-10-2024 23:00,2.55
18-10-2024 20:00,2.55
18-10-2024 17:00,2.44
18-10-2024 05:00,2.75
18-10-2024 02:00,2.55
17-10-2024 23:00,2.95
17-10-2024 20:00,2.68
17-10-2024 14:00,3.05
17-10-2024 11:00,3.2
17-10-2024 08:00,3.16
17-10-2024 05:00,3
17-10-2024 02:00,2.74
16-10-2024 11:00,2.7533333
16-10-2024 08:00,2.34
16-10-2024 05:00,1.93
15-10-2024 20:00,2.04
15-10-2024 11:00,1.41
15-10-2024 08:00,2.11
15-10-2024 03:00,2.22
14-10-2024 23:00,2.1
14-10-2024 20:00,1.77
14-10-2024 15:00,1.65
14-10-2024 11:00,1.61
14-10-2024 08:00,1.96
14-10-2024 03:00,1.84
13-10-2024 23:00,2.72
13-10-2024 20:00,2.57
13-10-2024 15:00,2.69
13-10-2024 11:00,2.27
13-10-2024 08:00,2.22
13-10-2024 03:00,2.02
12-10-2024 23:00,2.16
12-10-2024 20:00,2.1
12-10-2024 15:00,2.07
12-10-2024 11:00,2.27
12-10-2024 08:00,1.87
12-10-2024 03:00,2.16
11-10-2024 23:00,2.03
11-10-2024 20:00,1.54
11-10-2024 15:00,1.21
11-10-2024 11:00,1.84
11-10-2024 08:00,1.66
11-10-2024 03:00,2.14
10-10-2024 23:00,1.85
