Date/Time,Movement
19-11-2024 07:30,-1.3899999
18-11-2024 07:30,-0.67
17-11-2024 07:30,0.74
16-11-2024 07:30,0.1899999
15-11-2024 07:30,0.1899999
14-11-2024 07:30,0.74
13-11-2024 07:30,0.5499999
12-11-2024 07:30,1.33
11-11-2024 07:30,0.93
10-11-2024 07:30,1.03
09-11-2024 07:30,1.03
08-11-2024 07:30,1.1
07-11-2024 07:30,0.8499999
06-11-2024 07:30,1.1
05-11-2024 08:00,0.4799999
04-11-2024 08:00,1.8
03-11-2024 08:00,1.4
02-11-2024 20:00,1.02
02-11-2024 08:00,1.56
01-11-2024 20:00,1.31
01-11-2024 08:00,1.88
31-10-2024 20:00,1.9
31-10-2024 08:00,1.77
30-10-2024 20:00,0.21
30-10-2024 08:00,0.75
29-10-2024 20:00,0.49
29-10-2024 08:00,1.53
28-10-2024 20:00,2.02
28-10-2024 08:00,2.11
27-10-2024 08:00,1.18
26-10-2024 20:00,0.54
26-10-2024 08:00,0.75
25-10-2024 20:00,0.71
25-10-2024 12:00,0.5399999
25-10-2024 08:00,0.54
24-10-2024 20:00,0.82
24-10-2024 08:00,1.04
21-10-2024 17:00,-1.89
18-10-2024 17:00,-1.12
15-10-2024 17:00,-1.49
12-10-2024 17:00,-1.36
09-10-2024 17:00,-1.68
06-10-2024 17:00,-1.36
03-10-2024 17:00,-1.24
30-09-2024 17:00,-1.47
27-09-2024 17:00,-1.23
24-09-2024 17:00,-1.12
20-09-2024 17:00,-0.89
17-09-2024 17:00,-0.98
14-09-2024 17:00,-0.53
10-09-2024 17:00,-0.58
06-09-2024 17:00,-0.8
02-09-2024 17:00,-0.36
30-08-2024 17:00,-0.16
27-08-2024 17:00,-0.33
24-08-2024 17:30,0.15
21-08-2024 17:30,-0.05
18-08-2024 17:30,-0.47
15-08-2024 17:30,0.16
12-08-2024 17:30,0.64
09-08-2024 17:30,-0.19
06-08-2024 17:30,0.36
03-08-2024 17:30,-0.34
31-07-2024 17:30,-0.34
28-07-2024 17:30,-0.22
24-07-2024 17:30,-0.45
22-07-2024 17:30,-0.11
20-07-2024 17:30,0.04
18-07-2024 17:30,0.11
16-07-2024 17:30,-0.17
14-07-2024 17:30,-0.14
12-07-2024 17:30,-0.42
10-07-2024 17:30,-0.26
08-07-2024 17:30,-0.89
04-07-2024 17:30,-0.35
02-07-2024 17:30,-0.13
01-07-2024 17:30,-0.13
30-06-2024 17:30,1.03
26-06-2024 17:30,0.61
24-06-2024 17:30,-0.85
22-06-2024 17:30,-0.81
20-06-2024 17:30,-0.23
18-06-2024 17:30,-0.21
16-06-2024 17:30,-0.61
29-04-2024 17:30,0
29-04-2024 17:00,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
