Id instrument	longitude	latitude	subsidence
Tu-AA-23-TLP-02	105.8197	21.0313	-2.33
Tu-AA-23-TLP-03	105.8197	21.0312	-7.88
Tu-AA-23-TLP-04	105.8197	21.0311	-26.31
Tu-AA-23-TLP-05	10.5820	21.0310	-18.81
Tu-AA-23-TLP-06	10.5820	21.0309	-6.73
Tu-AA-23-TLP-07	105.8198	21.0308	-4.44
Tu-AA-24-TLP-01	105.8199	21.0312	-5.77
Tu-AA-24-TLP-02	10.5820	21.0310	-16.30
Tu-AA-25-TLP-01	105.8201	21.0314	-0.81
Tu-AA-25-TLP-02	105.8201	21.0313	-1.08
Tu-AA-25-TLP-03	105.8202	21.0312	-2.89
Tu-AA-25-TLP-04	105.8202	21.0312	-20.06
Tu-AA-25-TLP-05	105.8202	21.0310	-17.50
Tu-AA-25-TLP-06	105.8202	21.0310	-13.50
Tu-AA-25-TLP-07	10.5820	21.0309	-1.27
Tu-AA-26-TLP-02	10.5820	21.0311	-19.44
Tu-AA-27-TLP-01	105.8206	21.0314	0.00
Tu-AA-27-TLP-02	10.5821	21.0314	0.00
Tu-AA-27-TLP-03	105.8206	21.0313	-4.21
Tu-AA-27-TLP-04	105.8206	21.0312	-13.89
Tu-AA-27-TLP-05	105.8207	21.0311	-13.14
Tu-AA-27-TLP-06	105.8206	21.0311	-13.15
Tu-AA-27-TLP-07	105.8207	21.0310	-10.70
Tu-AA-28-TLP-01	105.8209	21.0313	-1.76
Tu-AA-28-TLP-02	105.8209	21.0311	-22.46
Tu-AA-29-TLP-01	105.8211	21.0315	0.00
Tu-AA-29-TLP-02	105.8211	21.0314	-1.39
Tu-AA-29-TLP-03	105.8211	21.0312	-18.84
Tu-AA-29-TLP-04	105.8211	21.0310	-12.96
Tu-AA-29-TLP-05	105.8211	21.0310	-1.50
Tu-AA-30-TLP-01	105.8213	2.1032	-1.27
Tu-AA-30-TLP-02	105.8213	21.0314	-4.67
Tu-AA-30-TLP-03	105.8214	21.0313	-3.95
Tu-AA-30-TLP-04	105.8214	21.0311	-3.60
